Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,ano,mes,dia
Australian Capital Territory,Australia,2021-01-13 05:22:15,-35.4735,149.0124,118,3,115,0,27.563653352020555,2.542372881355932,2021,1,13
New South Wales,Australia,2021-01-13 05:22:15,-33.8688,151.2093,5041,54,0,4987,62.09657551120966,1.0712160285657608,2021,1,13
Northern Territory,Australia,2021-01-13 05:22:15,-12.4634,130.8456,91,0,74,17,37.05211726384365,0.0,2021,1,13
Queensland,Australia,2021-01-13 05:22:15,-27.4698,153.0251,1283,6,1245,32,25.08063727885837,0.4676539360872954,2021,1,13
South Australia,Australia,2021-01-13 05:22:15,-34.9285,138.6007,590,4,574,12,33.589524622829494,0.6779661016949152,2021,1,13
Tasmania,Australia,2021-01-13 05:22:15,-42.8821,147.3272,234,13,221,0,43.69747899159664,5.555555555555555,2021,1,13
Victoria,Australia,2021-01-13 05:22:15,-37.8136,144.9631,20414,820,19559,35,307.90811324454364,4.016851180562359,2021,1,13
Western Australia,Australia,2021-01-13 05:22:15,-31.9505,115.8605,879,9,855,15,33.414430168022506,1.023890784982935,2021,1,13
Acre,Brazil,2021-01-13 05:22:15,-9.0238,-70.812,43432,827,38970,3635,4924.6259644985175,1.9041259900534169,2021,1,13
Alagoas,Brazil,2021-01-13 05:22:15,-9.5713,-36.782,109319,2577,103446,3296,3275.616003921666,2.357321234186189,2021,1,13
Amapa,Brazil,2021-01-13 05:22:15,0.902,-52.003,71689,981,54715,15993,8476.572338012915,1.3684107743168408,2021,1,13
Amazonas,Brazil,2021-01-13 05:22:15,-3.4168,-65.8561,218070,5810,181460,30800,5261.548951562721,2.6642821112486814,2021,1,13
Bahia,Brazil,2021-01-13 05:22:15,-12.5797,-41.7007,515861,9480,499577,6804,3468.424529068119,1.8377043428365396,2021,1,13
Ceara,Brazil,2021-01-13 05:22:15,-5.4984,-39.3206,347518,10175,276146,58927,3780.4648624332817,2.9435022520891567,2021,1,13
Distrito Federal,Brazil,2021-01-13 05:22:15,-15.7998,-47.8645,260797,4375,248948,7474,8649.214597176768,1.6775499718171605,2021,1,13
Espirito Santo,Brazil,2021-01-13 05:22:15,-19.1834,-40.3089,267451,5384,243995,17946,6652.059771316238,2.0132947782270887,2021,1,13
Goias,Brazil,2021-01-13 05:22:15,-15.827,-49.8362,321948,7007,309487,4307,4570.615845253745,2.1784264703131724,2021,1,13
Maranhao,Brazil,2021-01-13 05:22:15,-4.9609,-45.2744,202314,4575,191545,6194,2859.488683045706,2.261336338562828,2021,1,13
Mato Grosso,Brazil,2021-01-13 05:22:15,-12.6819,-56.9211,192353,4708,178504,8176,5490.511315076687,2.4227060084154406,2021,1,13
Mato Grosso do Sul,Brazil,2021-01-13 05:22:15,-20.7722,-54.7852,146143,2609,129646,12815,5219.457744659383,1.7835475153052782,2021,1,13
Minas Gerais,Brazil,2021-01-13 05:22:15,-18.5122,-44.555,602833,12750,538004,52079,2847.744115381932,2.115013610734648,2021,1,13
Para,Brazil,2021-01-13 05:22:15,-1.9981,-54.9306,305012,7349,283711,12462,3528.0339747281864,2.41802630538496,2021,1,13
Paraiba,Brazil,2021-01-13 05:22:15,-7.24,-36.782,173518,3836,130673,39009,4318.380180616491,2.210721654237601,2021,1,13
Parana,Brazil,2021-01-13 05:22:15,-25.2521,-52.0215,486349,8885,350073,127391,4253.549318053234,1.8268774069649572,2021,1,13
Pernambuco,Brazil,2021-01-13 05:22:15,-8.8137,-36.9541,234238,9889,198249,26100,2450.939205118388,4.221774434549475,2021,1,13
Piaui,Brazil,2021-01-13 05:22:15,-7.7183,-42.7289,148867,2922,144740,377,4522.50943793388,1.9691688283614357,2021,1,13
Rio Grande do Norte,Brazil,2021-01-13 05:22:15,-5.4026,-36.9541,126261,3140,88210,34013,3574.087650665711,2.4852798034115757,2021,1,13
Rio Grande do Sul,Brazil,2021-01-13 05:22:15,-30.0346,-51.2177,485757,9619,457266,18872,4269.550811053543,1.9802082111014356,2021,1,13
Rio de Janeiro,Brazil,2021-01-13 05:22:15,-22.9068,-43.1729,465150,26976,428991,9183,2694.18786960374,5.799419542083199,2021,1,13
Rondonia,Brazil,2021-01-13 05:22:15,-11.5057,-63.5806,103798,1951,85353,16495,5840.453516015136,1.8786489142372684,2021,1,13
Roraima,Brazil,2021-01-13 05:22:15,-2.7376,-62.0751,70086,800,67408,1685,11537.223426400842,1.1375343406593406,2021,1,13
Santa Catarina,Brazil,2021-01-13 05:22:15,-27.2423,-50.2189,526024,5707,494693,25624,7341.794341995883,1.0849314860158472,2021,1,13
Sao Paulo,Brazil,2021-01-13 05:22:15,-23.5505,-46.6333,1561844,48662,1370112,143070,3401.298663654816,3.1156760854477143,2021,1,13
Sergipe,Brazil,2021-01-13 05:22:15,-10.5741,-37.3857,124276,2595,107105,14576,5406.369524286813,2.088094241848788,2021,1,13
Tocantins,Brazil,2021-01-13 05:22:15,-10.1753,-48.2982,94381,1286,83918,8699,5969.675738429084,1.3610948399808296,2021,1,13
